Group,Scenario,Name,Success,Message,Annualized capital cost [EUR/year],Annualized capital cost [million CNY/year],Fixed O&M cost [EUR/year],Fixed O&M cost [million CNY/year],Variable operating annual cost [EUR/year],Variable operating annual cost [million CNY/year],Private total annual cost [EUR/year],Private total annual cost [million CNY/year],Carbon external cost [EUR/year],Carbon external cost [million CNY/year],Social total annual cost [EUR/year],Social total annual cost [million CNY/year],Annual CO2 emissions [tCO2/year],Daily average CO2 emissions [tCO2/day],CO2 cap [tCO2/day],CO2 cap slack [tCO2/day],Renewable utilization rate incl. export [%],Renewable curtailment rate [%],Renewable local consumption rate [%],Renewable local absorption rate [%],Renewable export rate [%],Annual renewable available [MWh/year],Annual renewable local absorption [MWh/year],Annual renewable export [MWh/year],Annual renewable curtailment [MWh/year],Annual unmet load [MWh/year],Electric service rate [%],Heat service rate [%],Cooling service rate [%],Total multi-energy service rate [%],Unserved energy ratio [%],Expected shortage duration [h/year],Annual grid import [MWh/year],Annual grid export [MWh/year],Peak grid import [MW],Peak grid export [MW],Grid peak-valley difference [MW],Grid weighted standard deviation [MW],Maximum grid ramp [MW/step],Annual battery throughput [MWh/year],Battery equivalent cycles [cycles/year],Annual thermal-storage throughput [MWh/year],Thermal-storage equivalent cycles [cycles/year],Annual flexible-load shifting [MWh/year],Battery simultaneous overlap [MWh/year],Thermal-storage simultaneous overlap [MWh/year],Grid import-export overlap [MWh/year],Flexible-load in-out overlap [MWh/year],PV capacity [MW],WT capacity [MW],CHP capacity [MW],Heat pump capacity [MW],Electric chiller capacity [MW],Gas boiler capacity [MW],Battery energy capacity [MWh],Battery power capacity [MW],Thermal storage energy capacity [MWh],Thermal storage power capacity [MW],Capacity upper bounds >=95% [count],Carbon cap binding,Annual export share of renewable available [%],Max electric balance error,Max heat balance error,Max cooling balance error
Planning,S0,S0 县域基准系统,True,Optimization solved successfully.,14559536.625890039,113.5643856819423,3628880.1584351338,28.305265235794042,7550472.543655548,58.89368584051327,25738889.32798072,200.7633367582496,1309857.734959663,10.21689033268537,27048747.06294038,210.98022709093496,29107.949665770284,79.74780730348023,1000000000000.0,999999999920.2522,94.95007864082457,5.049921359175426,95.8126726206671,90.9742080011992,3.975870639625375,491162.99099598965,446831.6410536029,19528.005151715377,24803.344790671355,0.0,100.0,100.0,100.0,100.0,0.0,0.0,22047.877992078174,19528.005151715377,25.79374016438746,5.0,30.79374016438746,6.354606770201438,5.928716873359399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.36281383213578,115.67479936670448,16.651939199587698,58.927376497598615,44.69616375476041,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,3.975870639625375,2.1316282072803006e-14,7.105427357601002e-15,0.0
Planning,S1,S1 低碳约束,True,Optimization solved successfully.,15372534.96793096,119.90577274986148,3831515.2853681385,29.88581922587148,6659117.728155047,51.94111827960936,25863167.981454145,201.73271025534234,1047886.1879677252,8.173512266148256,26911054.16942187,209.90622252149058,23286.359732616114,63.79824584278388,63.79824584278418,3.055333763768431e-13,92.5135453089973,7.486454691002722,95.13480675216054,88.01258254928706,4.500962759710233,520761.5198273532,458335.6625229711,23439.28207433019,38986.57523005195,0.0,100.0,100.0,100.0,100.0,0.0,0.0,14095.652244174798,23439.28207433019,23.61414665256287,5.0,28.61414665256287,5.487242180179999,6.35882968642618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.649225188899806,124.4055970476521,17.160805382585973,61.577198412220746,44.69616375476041,-0.0,-0.0,0.0,-0.0,0.0,0.0,1.0,4.500962759710233,2.842170943040401e-14,7.105427357601002e-15,0.0
Planning,S2,S2 低碳约束+储能,True,Optimization solved successfully.,16984688.02369917,132.48056658485353,4233335.095075179,33.020013741586396,3636977.9709328613,28.368428173276317,24855001.08970721,193.86900849971624,553062.2261520624,4.3138853639860875,25408063.315859273,198.18289386370233,12290.271692268052,33.67197723909055,63.79824584278418,30.12626860369363,95.20932470242622,4.790675297573805,95.64729313703653,91.06514189192254,4.144182810503684,532883.4050391973,485271.02891745325,22083.66247166114,25528.713650082987,0.0,100.0,100.0,100.0,100.0,0.0,0.0,5102.967219458845,22083.66247166114,4.691387537635897,5.0,9.691387537635897,3.282266494180188,7.5,18733.124028598544,339.6258624639905,23938.406999096722,268.09306822068305,0.0,0.0,0.0,0.0,0.0,33.36596353666027,129.18753706767453,11.10890423948765,58.50690431187105,44.69616375476041,0.0,55.15811985780312,17.013579096236,89.29140599559113,16.81365896947633,0.0,0.0,4.144182810503684,4.263256414560601e-14,7.105427357601002e-15,0.0
Planning,S3,S3 低碳约束+柔性负荷,True,Optimization solved successfully.,15171039.467662873,118.33410784777041,3781293.6992198136,29.494090853914543,6135441.569653666,47.85644424329859,25087774.736536354,195.68464294498355,947245.1711873766,7.388512335261538,26035019.907723732,203.0731552802451,21049.89269305281,57.67093888507619,63.79824584278418,6.127306957707994,94.13343170419098,5.866568295809023,95.38623102326113,89.79033263548334,4.343099068707637,516458.86407294584,463730.1319765368,22430.32011581015,30298.411980598856,0.0,100.0,100.0,100.0,100.0,0.0,0.0,13832.597202419369,22430.32011581015,21.508924879216586,5.0,26.508924879216586,5.30873010333523,5.499789449189434,0.0,0.0,0.0,0.0,7559.351948850632,0.0,0.0,0.0,0.0,33.58654370742542,124.44899225467765,14.808806826471622,61.720066079138505,44.69616375476041,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,4.343099068707637,1.4210854715202004e-14,1.4210854715202004e-14,0.0
Planning,S4,S4 低碳源荷储协同,True,Optimization solved successfully.,16781123.581096195,130.8927639325503,4182597.8370355745,32.62426312887748,3246156.432609611,25.320020174354966,24209877.85074138,188.83704723578273,462020.29762417777,3.6037583214685864,24671898.148365557,192.44080555725134,10267.117724981726,28.129089657484183,63.79824584278418,35.6691561853,96.42221068497145,3.577789315028543,95.97081502799597,92.53718146237851,3.8850292225929346,528877.3669060261,489408.2087272788,20547.04025597917,18922.117922768106,0.0,100.0,100.0,100.0,100.0,0.0,0.0,3429.9746892991025,20547.04025597917,3.1598909003937714,5.0,8.159890900393771,2.9420185845277658,6.083210554931275,18542.7833493132,334.89092158398176,19600.466516489716,289.4045114119918,7416.662348335339,0.0,0.0,0.0,0.0,33.12572405844851,128.20992966907443,10.346561055703543,59.48705983387919,44.69616375476041,0.0,55.3696208353715,17.41699545842193,67.72688656738593,12.22807398023543,0.0,0.0,3.8850292225929346,2.8990143619012088e-12,7.105427357601002e-15,0.0
