VOLL multiplier,Success,Total unmet [MWh/day],Total service rate [%],Critical-load service rate [%],Event-day private operating cost [EUR/day],Event-day carbon external cost [EUR/day],Event-day social operating cost [EUR/day],Annual grid demand charge [EUR/year],Annual export capacity charge [EUR/year]
0.5,True,34.92784396101963,98.71928824827376,100.0,408798.4253771468,24101.99609702633,432900.42147417314,558708.9547848146,0.0
1.0,True,34.920972181864286,98.71954021825879,100.0,723097.8765301581,24102.006097769143,747199.8826279272,558708.2092573638,0.0
2.0,True,34.908157739306304,98.72001009000907,100.0,1351288.6865477557,24102.77125383641,1375391.457801592,559145.9787365963,0.0
5.0,True,34.73671365156702,98.72629649171702,100.0,3220644.915116618,24142.45417878694,3244787.3692954048,565711.2471105339,0.0
