Group,Scenario,Name,Success,Message,Annualized capital cost [EUR/year],Annualized capital cost [million CNY/year],Fixed O&M cost [EUR/year],Fixed O&M cost [million CNY/year],Variable operating annual cost [EUR/year],Variable operating annual cost [million CNY/year],Private total annual cost [EUR/year],Private total annual cost [million CNY/year],Carbon external cost [EUR/year],Carbon external cost [million CNY/year],Social total annual cost [EUR/year],Social total annual cost [million CNY/year],Annual CO2 emissions [tCO2/year],Daily average CO2 emissions [tCO2/day],CO2 cap [tCO2/day],CO2 cap slack [tCO2/day],Renewable utilization rate incl. export [%],Renewable curtailment rate [%],Renewable local consumption rate [%],Renewable local absorption rate [%],Renewable export rate [%],Annual renewable available [MWh/year],Annual renewable local absorption [MWh/year],Annual renewable export [MWh/year],Annual renewable curtailment [MWh/year],Annual unmet load [MWh/year],Electric service rate [%],Heat service rate [%],Cooling service rate [%],Total multi-energy service rate [%],Unserved energy ratio [%],Expected shortage duration [h/year],Annual grid import [MWh/year],Annual grid export [MWh/year],Peak grid import [MW],Peak grid export [MW],Grid peak-valley difference [MW],Grid weighted standard deviation [MW],Maximum grid ramp [MW/step],Annual battery throughput [MWh/year],Battery equivalent cycles [cycles/year],Annual thermal-storage throughput [MWh/year],Thermal-storage equivalent cycles [cycles/year],Annual flexible-load shifting [MWh/year],Battery simultaneous overlap [MWh/year],Thermal-storage simultaneous overlap [MWh/year],Grid import-export overlap [MWh/year],Flexible-load in-out overlap [MWh/year],PV capacity [MW],WT capacity [MW],CHP capacity [MW],Heat pump capacity [MW],Electric chiller capacity [MW],Gas boiler capacity [MW],Battery energy capacity [MWh],Battery power capacity [MW],Thermal storage energy capacity [MWh],Thermal storage power capacity [MW],Capacity upper bounds >=95% [count],Carbon cap binding,Annual export share of renewable available [%],Max electric balance error,Max heat balance error,Max cooling balance error,Export capacity limit [MW]
Export sensitivity,E0_0,外送上限0 MW,True,Optimization solved successfully.,16781123.581096195,130.8927639325503,4182597.8370355745,32.62426312887748,3616301.176747333,28.207149178629194,24580022.594879102,191.724176240057,465612.15629899595,3.6317748191321684,25045634.751178097,195.35595105918915,10346.936806644355,28.347772072998232,1000000000000.0,999999999971.6522,92.50253488380017,7.497465116199832,100.0,92.50253488380017,0.0,528877.3669060261,489224.9708147706,0.0,39652.396091255505,0.0,100.0,100.0,100.0,100.0,0.0,0.0,3981.280520803015,0.0,3.1598909003937745,0.0,3.1598909003937745,1.068062953128651,3.1598909003937745,16758.705834798093,302.6696874921024,19671.611901540484,290.4549861740345,7306.150410071231,-3.240074875066057e-11,0.0,0.0,0.0,33.12572405844851,128.20992966907443,10.346561055703544,59.48705983387919,44.69616375476041,0.0,55.3696208353715,17.41699545842193,67.72688656738593,12.22807398023543,0.0,0.0,0.0,4.263256414560601e-14,6.394884621840902e-14,0.0,0.0
Export sensitivity,E2_5,外送上限2.5 MW,True,Optimization solved successfully.,16781123.581096195,130.8927639325503,4182597.8370355745,32.62426312887748,3417801.1300506485,26.65884881439506,24381522.548182417,190.17587587582284,465769.2433305588,3.6330000979783588,24847291.791512977,193.80887597380124,10350.427629567974,28.357335971419108,1000000000000.0,999999999971.6427,94.53968139337898,5.460318606620994,97.85662205430626,92.51333871246418,2.0263426809148246,528877.3669060261,489282.1098193338,10716.867815315305,28878.38927137693,0.0,100.0,100.0,100.0,100.0,0.0,0.0,3984.1345456667796,10716.867815315305,3.1598909003937745,2.5,5.6598909003937745,1.929266448268127,5.518015094604396,17373.708007745117,313.7769005029263,19728.729280518997,291.29833483323625,7486.398097377153,0.0,0.0,0.0,0.0,33.12572405844851,128.20992966907443,10.346561055703544,59.48705983387919,44.69616375476041,0.0,55.3696208353715,17.41699545842193,67.72688656738593,12.22807398023543,0.0,0.0,2.0263426809148246,5.684341886080802e-14,8.171241461241152e-14,0.0,2.5
Export sensitivity,E5_0,外送上限5 MW,True,Optimization solved successfully.,16781123.581096195,130.8927639325503,4182597.8370355745,32.62426312887748,3243449.446664033,25.298905683979456,24207170.8647958,188.81593274540722,465463.8580935881,3.630618093129987,24672634.72288939,192.44655083853723,10343.641290968626,28.338743262927743,1000000000000.0,999999999971.6613,96.42200216975905,3.5779978302409217,95.96968194206879,92.53588880449243,3.886113365266626,528877.3669060261,489401.3721522878,20552.774041205295,18923.220712532933,0.0,100.0,100.0,100.0,100.0,0.0,0.0,3936.185317213225,20552.774041205295,3.1598909003937745,5.0000000000001075,8.159890900393883,3.0152560345484365,7.5,18561.261628295753,335.22464752798805,19657.780425329336,290.2507618709228,7510.727611527142,0.0,0.0,0.0,0.0,33.12572405844851,128.20992966907443,10.346561055703544,59.48705983387919,44.69616375476041,0.0,55.3696208353715,17.41699545842193,67.72688656738593,12.22807398023543,0.0,0.0,3.886113365266626,7.815970093361102e-14,8.171241461241152e-14,0.0,5.0
Export sensitivity,E10_0,外送上限10 MW,True,Optimization solved successfully.,16781123.581096195,130.8927639325503,4182597.8370355745,32.62426312887748,3048000.5765254647,23.774404496898626,24011721.994657233,187.29143155832642,465750.132495107,3.6328510334618347,24477472.12715234,190.92428259178823,10350.00294433571,28.356172450234823,1000000000000.0,999999999971.6438,98.58702562232357,1.412974377676427,93.85388244817815,92.52775113673084,6.05927448559274,528877.3669060261,489358.3338693027,32046.13135301154,7472.901683711896,0.0,100.0,100.0,100.0,100.0,0.0,0.0,3984.1345456668178,32046.13135301154,3.1598909003937745,10.0,13.159890900393775,4.831731842345038,7.5,18117.026294331354,327.20155964582193,19701.1807449713,290.8915756133172,7546.964581210077,0.0,0.0,0.0,0.0,33.12572405844851,128.20992966907443,10.346561055703544,59.48705983387919,44.69616375476041,0.0,55.3696208353715,17.41699545842193,67.72688656738593,12.22807398023543,0.0,0.0,6.05927448559274,5.684341886080802e-14,6.394884621840902e-14,0.0,10.0
