Group,Scenario,Name,Success,Message,Annualized capital cost [EUR/year],Annualized capital cost [million CNY/year],Fixed O&M cost [EUR/year],Fixed O&M cost [million CNY/year],Variable operating annual cost [EUR/year],Variable operating annual cost [million CNY/year],Private total annual cost [EUR/year],Private total annual cost [million CNY/year],Carbon external cost [EUR/year],Carbon external cost [million CNY/year],Social total annual cost [EUR/year],Social total annual cost [million CNY/year],Annual CO2 emissions [tCO2/year],Daily average CO2 emissions [tCO2/day],CO2 cap [tCO2/day],CO2 cap slack [tCO2/day],Renewable utilization rate incl. export [%],Renewable curtailment rate [%],Renewable local consumption rate [%],Renewable local absorption rate [%],Renewable export rate [%],Annual renewable available [MWh/year],Annual renewable local absorption [MWh/year],Annual renewable export [MWh/year],Annual renewable curtailment [MWh/year],Annual unmet load [MWh/year],Electric service rate [%],Heat service rate [%],Cooling service rate [%],Total multi-energy service rate [%],Unserved energy ratio [%],Expected shortage duration [h/year],Annual grid import [MWh/year],Annual grid export [MWh/year],Peak grid import [MW],Peak grid export [MW],Grid peak-valley difference [MW],Grid weighted standard deviation [MW],Maximum grid ramp [MW/step],Annual battery throughput [MWh/year],Battery equivalent cycles [cycles/year],Annual thermal-storage throughput [MWh/year],Thermal-storage equivalent cycles [cycles/year],Annual flexible-load shifting [MWh/year],Battery simultaneous overlap [MWh/year],Thermal-storage simultaneous overlap [MWh/year],Grid import-export overlap [MWh/year],Flexible-load in-out overlap [MWh/year],PV capacity [MW],WT capacity [MW],CHP capacity [MW],Heat pump capacity [MW],Electric chiller capacity [MW],Gas boiler capacity [MW],Battery energy capacity [MWh],Battery power capacity [MW],Thermal storage energy capacity [MWh],Thermal storage power capacity [MW],Capacity upper bounds >=95% [count],Carbon cap binding,Annual export share of renewable available [%],Max electric balance error,Max heat balance error,Max cooling balance error
Operation,R0,R0 同容量常规规则运行,True,Optimization solved successfully.,16781123.581096195,130.8927639325503,4182597.8370355745,32.62426312887748,6569491.1898487555,51.24203128082029,27533212.607980523,214.7590583422481,1013610.9749741284,7.906165604798201,28546823.582954653,222.6652239470463,22524.688332758407,61.711474884269606,1000000000000.0,999999999938.2886,92.2324820633711,7.767517936628883,95.07893653443307,87.69366308516497,4.538818978206129,528877.3669060261,463791.93626826233,24004.786300567575,41080.64433719613,0.0,100.0,100.0,100.0,100.0,0.0,0.0,21240.696897813345,24004.786300567575,24.623038312380714,5.0,29.623038312380714,6.506099302426791,6.7114190071066915,6865.4907643935585,123.9938193690449,3936.5703017205124,58.124188210006665,0.0,0.0,0.0,0.0,0.0,33.12572405844851,128.20992966907443,10.346561055703543,59.48705983387919,44.69616375476041,0.0,55.3696208353715,17.41699545842193,67.72688656738593,12.22807398023543,0.0,0.0,4.538818978206129,2.1316282072803006e-14,7.105427357601002e-15,0.0
Operation,R1,R1 同容量储能优化调度,True,Optimization solved successfully.,16781123.581096195,130.8927639325503,4182597.8370355745,32.62426312887748,3889339.8942393004,30.336851175066542,24853061.312371068,193.85387823649432,613534.294259365,4.785567495223046,25466595.606630433,198.6394457317174,13634.095427985887,37.353686104070924,1000000000000.0,999999999962.6464,95.40684586248956,4.593154137510418,95.6585720009302,91.26482634318609,4.1420195193034814,528877.3669060261,482679.0104751999,21906.20377042589,24292.152660400294,0.0,100.0,100.0,100.0,100.0,0.0,0.0,7589.980671142238,21906.20377042589,7.239856541339425,5.0,12.239856541339424,3.8302213521614417,7.5,19273.695439990377,348.0915193061582,19652.893721753848,290.1786087892862,0.0,0.0,0.0,-1.9531902137326298e-12,0.0,33.12572405844851,128.20992966907443,10.346561055703543,59.48705983387919,44.69616375476041,0.0,55.3696208353715,17.41699545842193,67.72688656738593,12.22807398023543,0.0,0.0,4.1420195193034814,2.4158453015843406e-13,9.947598300641403e-14,0.0
Operation,R2,R2 规则储能+柔性负荷,True,Optimization solved successfully.,16781123.581096195,130.8927639325503,4182597.8370355745,32.62426312887748,5776243.088109938,45.05469608725752,26739964.50624171,208.57172314868532,846906.6060710201,6.605871527353957,27586871.11231273,215.1775946760393,18820.146801578223,51.56204603172116,1000000000000.0,999999999948.438,93.59949075274214,6.40050924725784,95.16092616718792,89.07014228808083,4.529348464661308,528877.3669060261,471071.82323265285,23954.69889789925,33850.84477547398,0.0,100.0,100.0,100.0,100.0,0.0,0.0,16063.9517222295,23954.69889789925,20.322788105131693,5.0,25.322788105131693,5.595345530532224,5.38719620778847,6865.4907643935585,123.9938193690449,3936.5703017205124,58.124188210006665,7828.932007976144,0.0,0.0,0.0,0.0,33.12572405844851,128.20992966907443,10.346561055703543,59.48705983387919,44.69616375476041,0.0,55.3696208353715,17.41699545842193,67.72688656738593,12.22807398023543,0.0,0.0,4.529348464661308,2.1316282072803006e-14,7.105427357601002e-15,0.0
Operation,R3,R3 源荷储经济协同调度,True,Optimization solved successfully.,16781123.581096195,130.8927639325503,4182597.8370355745,32.62426312887748,3267528.810779058,25.48672472407665,24231250.228910826,189.00375178550442,464641.1183487039,3.6242007231198903,24695891.34725953,192.6279525086243,10325.358185526753,28.288652563086995,1000000000000.0,999999999971.7113,96.41720467283339,3.582795327166603,95.96739148715427,92.52907626934882,3.8881284034845596,528877.3669060261,489365.3421958008,20563.43112227445,18948.593587950876,0.0,100.0,100.0,100.0,100.0,0.0,0.0,3733.8429264499046,20563.43112227445,3.3562298957936454,5.000000000000038,8.356229895793684,3.0105236793773305,7.5,18487.793246581878,333.89777584988286,19577.76582570311,289.0693315161314,7529.248457406386,0.0,0.0,-1.149080830487037e-12,0.0,33.12572405844851,128.20992966907443,10.346561055703543,59.48705983387919,44.69616375476041,0.0,55.3696208353715,17.41699545842193,67.72688656738593,12.22807398023543,0.0,0.0,3.8881284034845596,2.4868995751603507e-13,2.362554596402333e-13,0.0
Operation,R4,R4 源荷储低碳协同调度,True,Optimization solved successfully.,16781123.581096195,130.8927639325503,4182597.8370355745,32.62426312887748,3289080.0286534773,25.654824223497123,24252801.446785245,189.17185128492488,450701.8847982428,3.515474701426294,24703503.33158349,192.68732598635123,10015.597439960951,27.439992986194387,27.439992986194383,-3.552713678800501e-15,96.42174643590917,3.57825356409082,95.97078892048532,92.53671074545197,3.8850356904572085,528877.3669060261,489405.7192119921,20547.074463049437,18924.573230984563,0.0,100.0,100.0,100.0,100.0,0.0,0.0,1665.562603851666,20547.074463049437,3.223082506074099,5.0,8.2230825060741,2.7017623195605966,5.0,18591.68680996671,335.77413985269476,19251.61337991611,284.2536303623143,7431.1371792861355,0.0,0.0,0.0,0.0,33.12572405844851,128.20992966907443,10.346561055703543,59.48705983387919,44.69616375476041,0.0,55.3696208353715,17.41699545842193,67.72688656738593,12.22807398023543,0.0,1.0,3.8850356904572085,4.263256414560601e-14,7.105427357601002e-15,0.0
