Scenario,Day type,Day name,Tongjiang feature,Peak import [MW],Peak export [MW],Grid exchange range [MW],Renewable curtailment [MWh/day],Battery throughput [MWh/day],Thermal storage throughput [MWh/day],Flexible load shifting [MWh/day],Maximum grid ramp [MW/step]
R0,spring_irrigation,春季灌溉日,春灌集中用电与农村负荷抬升,14.177617729030821,5.0,19.17761772903082,128.41154950898843,18.809563738064544,10.785124114302771,0.0,6.460801007245948
R4,spring_irrigation,春季灌溉日,春灌集中用电与农村负荷抬升,0.0,5.0,5.0,55.30660028978559,53.47802663457624,62.22208973477703,16.143339710617134,4.032778921896399
R0,spring_pv_high,春秋光伏大发日,春秋低负荷与分布式光伏大发,7.117058616683254,5.0,12.117058616683254,243.14048007883267,18.809563738064544,10.785124114302771,0.0,4.059287825129973
R4,spring_pv_high,春秋光伏大发日,春秋低负荷与分布式光伏大发,0.0,5.0,5.0,193.3108481717225,44.43427916224786,52.916637032020674,8.85160437267895,3.383527201590878
R0,autumn_processing,秋季农产品加工日,粮食加工、仓储与冷链集中生产,24.623038312380714,5.0,29.623038312380714,32.00085117959247,18.809563738064544,10.785124114302771,0.0,5.683779948920741
R4,autumn_processing,秋季农产品加工日,粮食加工、仓储与冷链集中生产,3.223082506074099,0.0,3.223082506074099,-1.6792123247455493e-15,47.69563599120083,57.46436808044633,34.8698095107111,3.223082506074099
R0,winter_heating,冬季采暖日,严寒地区采暖负荷高峰,16.94806346862341,5.0,21.94806346862341,104.72181475407821,18.809563738064544,10.785124114302771,0.0,6.7114190071066915
R4,winter_heating,冬季采暖日,严寒地区采暖负荷高峰,0.0,5.0,5.0,22.22134753644631,56.91470887669662,61.57789152400325,22.538039365267235,5.0
