Group,Scenario,Name,Success,Message,Annualized capital cost [EUR/year],Annualized capital cost [million CNY/year],Fixed O&M cost [EUR/year],Fixed O&M cost [million CNY/year],Variable operating annual cost [EUR/year],Variable operating annual cost [million CNY/year],Private total annual cost [EUR/year],Private total annual cost [million CNY/year],Carbon external cost [EUR/year],Carbon external cost [million CNY/year],Social total annual cost [EUR/year],Social total annual cost [million CNY/year],Annual CO2 emissions [tCO2/year],Daily average CO2 emissions [tCO2/day],CO2 cap [tCO2/day],CO2 cap slack [tCO2/day],Renewable utilization rate incl. export [%],Renewable curtailment rate [%],Renewable local consumption rate [%],Renewable local absorption rate [%],Renewable export rate [%],Annual renewable available [MWh/year],Annual renewable local absorption [MWh/year],Annual renewable export [MWh/year],Annual renewable curtailment [MWh/year],Annual unmet load [MWh/year],Electric service rate [%],Heat service rate [%],Cooling service rate [%],Total multi-energy service rate [%],Unserved energy ratio [%],Expected shortage duration [h/year],Annual grid import [MWh/year],Annual grid export [MWh/year],Peak grid import [MW],Peak grid export [MW],Grid peak-valley difference [MW],Grid weighted standard deviation [MW],Maximum grid ramp [MW/step],Annual battery throughput [MWh/year],Battery equivalent cycles [cycles/year],Annual thermal-storage throughput [MWh/year],Thermal-storage equivalent cycles [cycles/year],Annual flexible-load shifting [MWh/year],Battery simultaneous overlap [MWh/year],Thermal-storage simultaneous overlap [MWh/year],Grid import-export overlap [MWh/year],Flexible-load in-out overlap [MWh/year],PV capacity [MW],WT capacity [MW],CHP capacity [MW],Heat pump capacity [MW],Electric chiller capacity [MW],Gas boiler capacity [MW],Battery energy capacity [MWh],Battery power capacity [MW],Thermal storage energy capacity [MWh],Thermal storage power capacity [MW],Capacity upper bounds >=95% [count],Carbon cap binding,Annual export share of renewable available [%],Max electric balance error,Max heat balance error,Max cooling balance error
Carbon sensitivity,C100,C100 碳上限为R3的100%,True,Optimization solved successfully.,16781123.581096195,130.8927639325503,4182597.8370355745,32.62426312887748,3246156.4326096107,25.320020174354962,24209877.85074138,188.83704723578273,462020.2976241779,3.6037583214685873,24671898.148365557,192.44080555725134,10267.11772498173,28.129089657484194,28.288652563086995,0.15956290560280095,96.42221068497145,3.5777893150285403,95.97081502799597,92.53718146237851,3.8850292225929395,528877.3669060261,489408.2087272788,20547.040255979195,18922.11792276809,0.0,100.0,100.0,100.0,100.0,0.0,0.0,3429.9746892991075,20547.040255979195,3.1598909003937745,5.000000000000046,8.15989090039382,2.9420185845277693,6.083210554931286,18542.78334931317,334.8909215839812,19600.46651648973,289.404511411992,7416.662348335368,-3.0748736890018336e-11,0.0,0.0,0.0,33.12572405844851,128.20992966907443,10.346561055703544,59.48705983387919,44.69616375476041,0.0,55.3696208353715,17.41699545842193,67.72688656738593,12.22807398023543,0.0,0.0,3.8850292225929395,2.4158453015843406e-13,8.171241461241152e-14,0.0
Carbon sensitivity,C99,C99 碳上限为R3的99%,True,Optimization solved successfully.,16781123.581096195,130.8927639325503,4182597.8370355745,32.62426312887748,3249078.8869955894,25.342815318565595,24212800.30512736,188.8598423799934,459994.7071652169,3.5879587158886914,24672795.012292575,192.44780109588208,10222.104603671487,28.00576603745613,28.005766037456123,-7.105427357601002e-15,96.42221068497145,3.5777893150285403,95.97081502799597,92.53718146237851,3.8850292225929395,528877.3669060261,489408.2087272788,20547.040255979195,18922.11792276809,0.0,100.0,100.0,100.0,100.0,0.0,0.0,3118.4927220733803,20547.040255979195,3.1598909003937745,5.000000000000048,8.159890900393822,2.9081904622770804,5.0,18533.349825491507,334.72054794444136,19505.5888680214,288.00362539349874,7416.662348335367,-3.0748736890018336e-11,0.0,0.0,0.0,33.12572405844851,128.20992966907443,10.346561055703544,59.48705983387919,44.69616375476041,0.0,55.3696208353715,17.41699545842193,67.72688656738593,12.22807398023543,0.0,1.0,3.8850292225929395,2.4158453015843406e-13,7.105427357601002e-14,0.0
Carbon sensitivity,C98,C98 碳上限为R3的98%,True,Optimization solved successfully.,16781123.581096195,130.8927639325503,4182597.8370355745,32.62426312887748,3258741.394929813,25.418182880452544,24222462.81306158,188.93520994188032,455348.2959817299,3.5517167086574934,24677811.10904331,192.4869266505378,10118.851021816221,27.722879511825262,27.722879511825255,-7.105427357601002e-15,96.42221068497145,3.5777893150285403,95.97081502799597,92.53718146237851,3.8850292225929395,528877.3669060261,489408.2087272788,20547.040255979195,18922.11792276809,0.0,100.0,100.0,100.0,100.0,0.0,0.0,2393.1512334799104,20547.040255979195,3.1598909003937745,5.000000000000051,8.159890900393826,2.7927038029970843,5.0,18533.56974658897,334.7245198173592,19502.685711032915,287.960759743893,7416.662348335367,-3.0748736890018336e-11,0.0,0.0,0.0,33.12572405844851,128.20992966907443,10.346561055703544,59.48705983387919,44.69616375476041,0.0,55.3696208353715,17.41699545842193,67.72688656738593,12.22807398023543,0.0,1.0,3.8850292225929395,2.4158453015843406e-13,7.105427357601002e-14,0.0
Carbon sensitivity,C97,C97 碳上限为R3的97%,True,Optimization solved successfully.,16781123.581096195,130.8927639325503,4182597.8370355745,32.62426312887748,3273735.480857239,25.535136750686462,24237456.898989007,189.05216381211423,450701.88479824306,3.5154747014262955,24688158.78378725,192.56763851354054,10015.597439960959,27.439992986194408,27.439992986194383,-2.4868995751603507e-14,96.4223457474599,3.577654252540078,95.97082067183034,92.53731652486697,3.8850292225929395,528877.3669060261,489408.92304221145,20547.040255979195,18921.403607835437,0.0,100.0,100.0,100.0,100.0,0.0,0.0,1697.0832350429941,20547.040255979195,3.1598909003937745,5.000000000000048,8.159890900393822,2.691208395509537,5.0,18494.533452167303,334.01950696314924,19327.587610219933,285.3754039171673,7518.666101644714,0.0,0.0,0.0,0.0,33.12572405844851,128.20992966907443,10.346561055703544,59.48705983387919,44.69616375476041,0.0,55.3696208353715,17.41699545842193,67.72688656738593,12.22807398023543,0.0,1.0,3.8850292225929395,7.815970093361102e-14,7.105427357601002e-14,0.0
