Cost item,Value,Unit
Annualized capital cost,16781123.581096195,EUR/year
Fixed O&M cost,4182597.8370355745,EUR/year
Grid purchase cost,36263.58001749932,EUR/year
Grid sale revenue,0.0,EUR/year
Grid export wheeling cost,0.0,EUR/year
Grid export capacity cost,0.0,EUR/year
Gas purchase cost,29002.2895761013,EUR/year
Carbon external cost,15935.922070504825,EUR/year
Demand response cost,685.2498087661658,EUR/year
Renewable curtailment cost,72.79884200037637,EUR/year
Unserved-energy cost,0.0,EUR/year
Storage degradation cost,643.7661322632246,EUR/year
Grid demand charge,371380.62567461055,EUR/year
Grid fluctuation cost,1030.902660331696,EUR/year
Device smoothing cost,988.2074506812736,EUR/year
Variable operating annual cost,440067.4201622539,EUR/year
Private total annual cost,21403788.83829402,EUR/year
Social total annual cost,21419724.760364525,EUR/year
Objective annual cost,21419724.760364525,EUR/year
