Metric,Value,Unit
Annualized capital cost,16781123.581096195,EUR/year
Fixed O&M cost,4182597.8370355745,EUR/year
Variable operating annual cost,6569491.1898487555,EUR/year
Private total annual cost,27533212.607980523,EUR/year
Carbon external cost,1013610.9749741284,EUR/year
Social total annual cost,28546823.582954653,EUR/year
Annual CO2 emissions,22524.688332758407,tCO2/year
Annual renewable available,528877.3669060261,MWh/year
Annual renewable used,487796.7225688299,MWh/year
Renewable utilization rate (including export),92.2324820633711,%
Renewable curtailment rate,7.767517936628883,%
Annual renewable curtailment,41080.64433719613,MWh/year
Annual renewable local absorption,463791.93626826233,MWh/year
Annual renewable export,24004.786300567575,MWh/year
Renewable local consumption rate,95.07893653443307,%
Renewable local absorption rate,87.69366308516497,%
Renewable export rate,4.538818978206129,%
Annual unmet load,0.0,MWh/year
Annual electric unmet load,0.0,MWh/year
Annual heat unmet load,0.0,MWh/year
Annual cooling unmet load,0.0,MWh/year
Electric service rate,100.0,%
Heat service rate,100.0,%
Cooling service rate,100.0,%
Total multi-energy service rate,100.0,%
Unserved energy ratio,0.0,%
Expected shortage duration,0.0,h/year
Annual grid import,21240.696897813345,MWh/year
Annual grid export,24004.786300567575,MWh/year
Peak grid import,24.623038312380714,MW
Peak grid export,5.0,MW
Grid peak-valley difference,29.623038312380714,MW
Grid weighted standard deviation,6.506099302426791,MW
Maximum grid ramp,6.7114190071066915,MW/step
Annual battery throughput,6865.4907643935585,MWh/year
Battery equivalent cycles,123.9938193690449,cycles/year
Annual thermal-storage throughput,3936.5703017205124,MWh/year
Thermal-storage equivalent cycles,58.124188210006665,cycles/year
Annual flexible-load shifting,0.0,MWh/year
Annual interruptible load,0.0,MWh/year
Battery simultaneous overlap,0.0,MWh/year
Thermal-storage simultaneous overlap,0.0,MWh/year
Grid import-export overlap,0.0,MWh/year
Flexible-load in-out overlap,0.0,MWh/year
