Diagnostic,Value
Maximum electric balance error,2.4158453015843406e-13
Maximum heat balance error,9.947598300641403e-14
Maximum cooling balance error,0.0
Number of capacity upper bounds >=95%,0.0
Strict storage exclusivity enabled,1.0
MILP used,1.0
Carbon cap binding,0.0
Annual export share of renewable available [%],4.1420195193034814
Storage rule-constrained mode,0.0
Grid import-export overlap [MWh/year],-1.9531902137326298e-12
Flexible-load in-out overlap [MWh/year],0.0
Renewable export attribution enforced,1.0
Unmet load hard-fixed to zero,0.0
Annual EENS limit enabled,1.0
Critical-load protection enabled,1.0
