Metric,Value,Unit
Annualized capital cost,16781123.581096195,EUR/year
Fixed O&M cost,4182597.8370355745,EUR/year
Variable operating annual cost,3889339.8942393004,EUR/year
Private total annual cost,24853061.312371068,EUR/year
Carbon external cost,613534.294259365,EUR/year
Social total annual cost,25466595.606630433,EUR/year
Annual CO2 emissions,13634.095427985887,tCO2/year
Annual renewable available,528877.3669060261,MWh/year
Annual renewable used,504585.2142456258,MWh/year
Renewable utilization rate (including export),95.40684586248956,%
Renewable curtailment rate,4.593154137510418,%
Annual renewable curtailment,24292.152660400294,MWh/year
Annual renewable local absorption,482679.0104751999,MWh/year
Annual renewable export,21906.20377042589,MWh/year
Renewable local consumption rate,95.6585720009302,%
Renewable local absorption rate,91.26482634318609,%
Renewable export rate,4.1420195193034814,%
Annual unmet load,0.0,MWh/year
Annual electric unmet load,0.0,MWh/year
Annual heat unmet load,0.0,MWh/year
Annual cooling unmet load,0.0,MWh/year
Electric service rate,100.0,%
Heat service rate,100.0,%
Cooling service rate,100.0,%
Total multi-energy service rate,100.0,%
Unserved energy ratio,0.0,%
Expected shortage duration,0.0,h/year
Annual grid import,7589.980671142238,MWh/year
Annual grid export,21906.20377042589,MWh/year
Peak grid import,7.239856541339425,MW
Peak grid export,5.0,MW
Grid peak-valley difference,12.239856541339424,MW
Grid weighted standard deviation,3.8302213521614417,MW
Maximum grid ramp,7.5,MW/step
Annual battery throughput,19273.695439990377,MWh/year
Battery equivalent cycles,348.0915193061582,cycles/year
Annual thermal-storage throughput,19652.893721753848,MWh/year
Thermal-storage equivalent cycles,290.1786087892862,cycles/year
Annual flexible-load shifting,0.0,MWh/year
Annual interruptible load,0.0,MWh/year
Battery simultaneous overlap,0.0,MWh/year
Thermal-storage simultaneous overlap,0.0,MWh/year
Grid import-export overlap,-1.9531902137326298e-12,MWh/year
Flexible-load in-out overlap,0.0,MWh/year
