Item,Value,Unit
Daily average CO2 emissions,51.56204603172116,tCO2/day
Annual CO2 emissions,18820.146801578223,tCO2/year
CO2 cap,1000000000000.0,tCO2/day
CO2 cap slack,999999999948.438,tCO2/day
