Cost item,Value,Unit
Annualized capital cost,16781123.581096195,EUR/year
Fixed O&M cost,4182597.8370355745,EUR/year
Grid purchase cost,1937844.6468973793,EUR/year
Grid sale revenue,250044.21056183465,EUR/year
Grid export wheeling cost,191637.591183194,EUR/year
Grid export capacity cost,30000.0,EUR/year
Gas purchase cost,2132167.0712777968,EUR/year
Carbon external cost,846906.6060710201,EUR/year
Demand response cost,234867.96023928432,EUR/year
Renewable curtailment cost,677016.8955094797,EUR/year
Unserved-energy cost,0.0,EUR/year
Storage degradation cost,103990.01130495085,EUR/year
Grid demand charge,365810.1858923705,EUR/year
Grid fluctuation cost,173425.53754173662,EUR/year
Device smoothing cost,179527.39882558043,EUR/year
Variable operating annual cost,5776243.088109938,EUR/year
Private total annual cost,26739964.50624171,EUR/year
Social total annual cost,27586871.11231273,EUR/year
Objective annual cost,26739964.50624171,EUR/year
