Technology,Capacity,Unit,Model key,Upper bound,Upper-bound utilization [%],Upper bound binding
PV,36.36281383213578,MW,C_PV,220.0,16.5285517418799,False
WT,115.67479936670448,MW,C_WT,220.0,52.57945425759295,False
CHP,16.651939199587698,MW,C_CHP,100.0,16.651939199587698,False
Heat pump,58.927376497598615,MW,C_HP,150.0,39.28491766506574,False
Electric chiller,44.69616375476041,MW,C_EC,120.0,37.24680312896701,False
Gas boiler,-0.0,MW,C_GB,150.0,-0.0,False
Battery energy,-0.0,MWh,C_BAT_E,0.0,0.0,False
Battery power,0.0,MW,C_BAT_P,0.0,0.0,False
Thermal storage energy,-0.0,MWh,C_TS_E,0.0,0.0,False
Thermal storage power,0.0,MW,C_TS_P,0.0,0.0,False
