Cost item,Value,Unit
Annualized capital cost,14559536.625890039,EUR/year
Fixed O&M cost,3628880.1584351338,EUR/year
Grid purchase cost,2504743.3264143555,EUR/year
Grid sale revenue,197514.82928904216,EUR/year
Grid export wheeling cost,156224.04121372302,EUR/year
Grid export capacity cost,30000.0,EUR/year
Gas purchase cost,3631150.4968617447,EUR/year
Carbon external cost,1309857.734959663,EUR/year
Demand response cost,0.0,EUR/year
Renewable curtailment cost,496066.8958134271,EUR/year
Unserved-energy cost,0.0,EUR/year
Storage degradation cost,0.0,EUR/year
Grid demand charge,464287.3229589743,EUR/year
Grid fluctuation cost,245472.31146860146,EUR/year
Device smoothing cost,220042.9782137649,EUR/year
Variable operating annual cost,7550472.543655548,EUR/year
Private total annual cost,25738889.32798072,EUR/year
Social total annual cost,27048747.06294038,EUR/year
Objective annual cost,25738889.32798072,EUR/year
