Cost item,Value,Unit
Annualized capital cost,16781123.581096195,EUR/year
Fixed O&M cost,4182597.8370355745,EUR/year
Grid purchase cost,61956.58836171802,EUR/year
Grid sale revenue,0.0,EUR/year
Grid export wheeling cost,0.0,EUR/year
Grid export capacity cost,0.0,EUR/year
Gas purchase cost,30530.3055190046,EUR/year
Carbon external cost,24102.006097769143,EUR/year
Demand response cost,809.7423627054164,EUR/year
Renewable curtailment cost,4.1494585545365226e-14,EUR/year
Unserved-energy cost,628577.4992735572,EUR/year
Storage degradation cost,603.464542326032,EUR/year
Grid demand charge,558708.2092573638,EUR/year
Grid fluctuation cost,16.629519339878925,EUR/year
Device smoothing cost,603.6469515067974,EUR/year
Variable operating annual cost,1281806.085787522,EUR/year
Private total annual cost,22245527.503919292,EUR/year
Social total annual cost,22269629.51001706,EUR/year
Objective annual cost,22269629.51001706,EUR/year
