Cost item,Value,Unit
Annualized capital cost,15372534.96793096,EUR/year
Fixed O&M cost,3831515.2853681385,EUR/year
Grid purchase cost,1730183.3054575725,EUR/year
Grid sale revenue,239489.75257889548,EUR/year
Grid export wheeling cost,187514.2565946415,EUR/year
Grid export capacity cost,30000.0,EUR/year
Gas purchase cost,3321239.554757466,EUR/year
Carbon external cost,1047886.1879677252,EUR/year
Demand response cost,0.0,EUR/year
Renewable curtailment cost,779731.5046010389,EUR/year
Unserved-energy cost,0.0,EUR/year
Storage degradation cost,0.0,EUR/year
Grid demand charge,425054.63974613167,EUR/year
Grid fluctuation cost,199135.25123953674,EUR/year
Device smoothing cost,225748.96833755635,EUR/year
Variable operating annual cost,6659117.728155047,EUR/year
Private total annual cost,25863167.981454145,EUR/year
Social total annual cost,26911054.16942187,EUR/year
Objective annual cost,26911054.16942187,EUR/year
