Item,Value,Unit
Daily average CO2 emissions,28.288652563086995,tCO2/day
Annual CO2 emissions,10325.358185526753,tCO2/year
CO2 cap,1000000000000.0,tCO2/day
CO2 cap slack,999999999971.7113,tCO2/day
